measurement,var,offset,scale,era_factor
ndssi_rg_msi,tss,81.3864212117532,203.0260045514892,1.0
ndssi_rg_oli,tss,61.7654780814963,192.5529727961847,1.0294033708371144
ndssi_rg_tm,tss,97.29071212033,270.17214254675025,0.7960945318108541
ndssi_bnir_oli,tss,52.670338129562225,80.23236496439387,1.0294033708371144
ti_yu_oli,tss,4.372454978300826,194.4404518442419,1.0294033708371144
ti_yu_tm,tss,2.465631226999996,290.30009636031053,0.7960945318108541
tsm_lym_oli,tss,0.0,1.0,1.0294033708371144
tsm_lym_msi,tss,4.026284642311513,1.17614885034445,1.0
tsm_lym_tm,tss,4.004788999226982,1.3376841347781203,0.7960945318108541
tss_grb_msi,tss,7.302745875366028,0.8976552679137476,1.0
tss_grb_oli,tss,8.95789636404589,0.6803534029171378,1.0294033708371144
tss_grb_tm,tss,5.409650151678669,1.2721403568072376,0.7960945318108541
tss_gr_msi,tss,8.02188877697731,2.267558211279866,1.0
tss_gr_oli,tss,9.33526151839385,0.90332895313537,1.0294033708371144
tss_gr_tm,tss,5.472820921718078,3.4115572352992323,0.7960945318108541
spm_qiu_tm,tss,-82.44816209241976,8.658795174589839,0.7960945318108541
spm_qiu_msi,tss,-21.341643247370826,3.4955014714671724,1.0
ndci_msi54,chla,45.138983134733536,69.18848729438119,1.0
ndci_msi64,chla,37.33193761324405,39.27101182379199,1.0
ndci_msi74,chla,37.749798011987,40.926158479439884,1.0
ndci_tm43,chla,37.15133435637662,43.92671381721462,0.9572562630254928
ndci_oli54,chla,53.173345093058195,103.44036222790118,0.9480027853765737
chla_toming_msi,chla,11.30048473126256,0.03525032553367291,1.0
chla_gurlin2b_msi,chla,-10.209776259287366,2.4763464739989463,1.0
chla_3bda_msi,chla,12.738585432725095,478.0692401740878,1.0
chla_3bda_oli,chla,9.486598850032909,619.6331783017822,0.9480027853765737
chla_3bda_tm,chla,6.611550864593493,664.4377780628363,0.9572562630254928
chla_tebbs_msi,chla,13.957952779778939,0.05220553226399528,1.0
chla_tebbs_oli,chla,8.449535859522268,0.03329725053987075,0.9480027853765737
chla_tebbs_tm,chla,16.38926159840705,0.020337774007201607,0.9572562630254928
chla_meris2b_msi,chla,0.0,1.0,1.0
chla_modis2b_msi,chla,12.851614724074562,0.18115966995686278,1.0
chla_modis2b_tm,chla,10.477776954080625,0.1936124022125095,0.9572562630254928
