measurement,var,offset,scale,era_factor
ndssi_rg_msi,tss,72.37190325239028,175.08981159444846,1.0
ndssi_rg_oli,tss,58.95794887268546,185.85236093883572,1.0619738914591212
ndssi_rg_tm,tss,84.88980147473598,236.70120249666127,0.8400828421453481
ndssi_bnir_oli,tss,47.700868827487426,70.86490605172352,1.0619738914591212
ti_yu_oli,tss,5.913966866325836,167.1094727539507,1.0619738914591212
ti_yu_tm,tss,4.59939907277052,246.26023630812668,0.8400828421453481
tsm_lym_oli,tss,0.0,1.0,1.0619738914591212
tsm_lym_msi,tss,4.7168553303874035,1.0486655341487565,1.0
tsm_lym_tm,tss,5.998201968278341,1.0442540946854644,0.8400828421453481
tss_grb_msi,tss,8.179407436172088,0.7836399156073873,1.0
tss_grb_oli,tss,9.93138716058608,0.5886500175619759,1.0619738914591212
tss_grb_tm,tss,7.221275773947919,0.9869057416115005,0.8400828421453481
tss_gr_msi,tss,8.87410571591904,2.0020624450359503,1.0
tss_gr_oli,tss,10.10251565104143,0.8215953992381914,1.0619738914591212
tss_gr_tm,tss,6.996147838667429,2.7799441723460743,0.8400828421453481
spm_qiu_tm,tss,-59.21684846316912,6.662355907553533,0.8400828421453481
spm_qiu_msi,tss,-16.182222790376677,3.0088965711863724,1.0
ndci_msi54,chla,175.09658275430158,376.2368244099081,1.0
ndci_msi64,chla,135.30643284106105,217.02973859177354,1.0
ndci_msi74,chla,0.0,0.0,1.0
ndci_tm43,chla,129.16461974046314,222.65909302584154,0.9543099351440495
ndci_oli54,chla,219.63971995762557,569.89880570238,1.062845464223111
chla_toming_msi,chla,0.0,0.0,1.0
chla_3bda_msi,chla,-1.6251422912558695,2688.846771487551,1.0
chla_3bda_oli,chla,-10.71037271882929,3163.954768471272,1.062845464223111
chla_3bda_tm,chla,-29.11244073471984,3527.049514388873,0.9543099351440495
chla_tebbs_msi,chla,6.011097557149739,0.2893983824151045,1.0
chla_tebbs_oli,chla,-23.049232568837553,0.1705197498641069,1.062845464223111
chla_tebbs_tm,chla,0.0,0.0,0.9543099351440495
chla_meris2b_msi,chla,-71.15077929643576,5.515546745495596,1.0
chla_modis2b_msi,chla,0.0,1.0,1.0
chla_modis2b_tm,chla,-6.18752352028153,0.9784301217300542,0.9543099351440495
